Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.4404,Sat Sep 15 17:49:36 +0000 2018,0.0,0.791,0.209,RT @bbcthree: This is truly magical: Sue and her underwater wheelchair. https://t.co/CRXs4SlmvL,30,@BBC
0.4215,Sat Sep 15 17:03:02 +0000 2018,0.0,0.817,0.183,"Celebrity dancers from the past 15 years share the inside scoop on their @bbcstrictly experience... 💃🕺✨

Strictly C… https://t.co/UlbvXy2MHj",31,@BBC
-0.5106,Sat Sep 15 16:05:05 +0000 2018,0.202,0.798,0.0,"☕️ ‘Why I rejected Costa Coffee’s £120k offer for my roadside café’. 

📻👉 https://t.co/RSJYIVt5zs https://t.co/mjLYBMHFto",32,@BBC
0.1007,Sat Sep 15 15:04:01 +0000 2018,0.0,0.92,0.08,"What a shot!  😲📷🐟

This photographer captured an image of a heron eating a fish that's eating another fish. 

https://t.co/6Gm608h6n0",33,@BBC
-0.4404,Sat Sep 15 14:03:04 +0000 2018,0.121,0.879,0.0,"The head of a major music label in South Korea has denied reports HyunA and E'Dawn, two members of the pop trio… https://t.co/veTBbeS7MI",34,@BBC
0.0,Sat Sep 15 13:02:04 +0000 2018,0.0,1.0,0.0,"With a suit, shirt and a pair of shoes, Maria can make a life-changing difference. 👔

https://t.co/rdmt94Cuh7",35,@BBC
0.6239,Sat Sep 15 11:02:08 +0000 2018,0.0,0.687,0.313,"This is the cutest robot we've ever seen! 😍🤖

https://t.co/tfBJGGJWmc",36,@BBC
0.4588,Sat Sep 15 10:03:03 +0000 2018,0.0,0.842,0.158,"SO 😍MANY 😍DOGS 😍

Meet Iain, the man behind an Instagram account dedicated to dogs in Glasgow. 

https://t.co/pL0MUcvkFk",37,@BBC
0.0,Sat Sep 15 09:00:17 +0000 2018,0.0,1.0,0.0,"RT @bbcthree: These kids did not hold back.
#Strictly https://t.co/ltrw4PW3j3",38,@BBC
-0.4404,Sat Sep 15 08:57:03 +0000 2018,0.162,0.838,0.0,"RT @BBCOne: Wondering whodunnit in #Bodyguard? Don’t worry, #LineOfDuty's Ted Hastings is on the case... https://t.co/joi7gZo7Qs",39,@BBC
